# Long Lat depth(km) Vs(km/s)
11.5 52.5 200 4.51863002777
12 52.5 200 4.50749015808
12.5 52.5 200 4.49304008484
13 52.5 200 4.48011016846
13.5 52.5 200 4.46834993362
14 52.5 200 4.45297002792
14.5 52.5 200 4.44326019287
15 52.5 200 4.44690990448
15.5 52.5 200 4.4568400383
16 52.5 200 4.46903991699
16.5 52.5 200 4.48575019836
17 52.5 200 4.50468015671
17.5 52.5 200 4.5238699913
18 52.5 200 4.54553985596
18.5 52.5 200 4.56867980957
19 52.5 200 4.58900022507
19.5 52.5 200 4.60483980179
20 52.5 200 4.62014007568
20.5 52.5 200 4.63131999969
21 52.5 200 4.63215017319
21.5 52.5 200 4.62929010391
22 52.5 200 4.62749004364
22.5 52.5 200 4.62573003769
23 52.5 200 4.62511014938
23.5 52.5 200 4.62490987778
24 52.5 200 4.62632989883
24.5 52.5 200 4.6290102005
25 52.5 200 4.62922000885
25.5 52.5 200 4.62760019302
26 52.5 200 4.62621021271
26.5 52.5 200 4.62547016144
27 52.5 200 4.62417984009
27.5 52.5 200 4.6194601059
28 52.5 200 4.6081199646
28.5 52.5 200 4.59523010254
29 52.5 200 4.58750009537
29.5 52.5 200 4.5867099762
30 52.5 200 4.59294986725
30.5 52.5 200 4.60281991959
31 52.5 200 4.61356019974
31.5 52.5 200 4.62368011475
32 52.5 200 4.6274600029
32.5 52.5 200 4.62408018112
33 52.5 200 4.62029981613
33.5 52.5 200 4.61800003052
34 52.5 200 4.60986995697
34.5 52.5 200 4.59756994247
35 52.5 200 4.58835983276
35.5 52.5 200 4.5829501152
36 52.5 200 4.57966995239
36.5 52.5 200 4.58025979996
37 52.5 200 4.58443021774
37.5 52.5 200 4.58798980713
38 52.5 200 4.58638000488
38.5 52.5 200 4.58319997787
39 52.5 200 4.5813999176
39.5 52.5 200 4.58253002167
40 52.5 200 4.5839600563
-10 52 200 4.45754003525
-9.5 52 200 4.46107006073
-9 52 200 4.46772003174
-8.5 52 200 4.47491979599
-8 52 200 4.47974014282
-7.5 52 200 4.48058986664
-7 52 200 4.47795009613
-6.5 52 200 4.47501993179
-6 52 200 4.47305011749
-5.5 52 200 4.47504997253
-5 52 200 4.48874998093
-4.5 52 200 4.50792980194
-4 52 200 4.52195978165
-3.5 52 200 4.52837991714
-3 52 200 4.53281021118
-2.5 52 200 4.53591012955
-2 52 200 4.54943990707
-1.5 52 200 4.57481002808
-1 52 200 4.5952000618
-0.5 52 200 4.60383987427
0 52 200 4.61531019211
0.5 52 200 4.62832021713
1 52 200 4.63671016693
1.5 52 200 4.63336992264
2 52 200 4.62097978592
2.5 52 200 4.60340023041
3 52 200 4.56679010391
3.5 52 200 4.51664018631
4 52 200 4.48028993607
4.5 52 200 4.45840978622
5 52 200 4.44283008575
5.5 52 200 4.44125986099
6 52 200 4.45601987839
6.5 52 200 4.47290992737
7 52 200 4.47786998749
7.5 52 200 4.46404981613
8 52 200 4.45012998581
8.5 52 200 4.44555997849
9 52 200 4.44722986221
9.5 52 200 4.45499992371
10 52 200 4.46300983429
10.5 52 200 4.46948003769
11 52 200 4.47414016724
11.5 52 200 4.47870016098
12 52 200 4.47880983353
12.5 52 200 4.47230005264
13 52 200 4.46283006668
